EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_2.560-7.240MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.072-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_1.280-3.620MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_3.620-7.240MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_7.240-10.20MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.063-.080MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.080-.113MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.113-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.175-.226MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.226-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.320-.453MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.453-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.640-.905MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.905-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_1.280-1.810MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_1.810-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_2.560-3.620MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_L3.620-5.120MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_L5.120-7.240MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_L7.240-8.670MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.041-.111MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.111-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_2.560-5.120MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_5.120-10.20MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_10.20-14.00MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.040-.090MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.090-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_2.560-5.120MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_5.120-10.40MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.061-.080MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.080-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_2.560-7.040MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.035-.040MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.040-.080MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.080-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.640-.905MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.905-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_1.280-1.810MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_1.810-3.070MEV/N_1/(cm**2-s-sr-MeV/nucleon)
2013-09-28T06:00:00.000Z,6.75750,1.82410,0.00000,0.00000,0.00000,1.18270,0.159040,0.0194290,0.0200400,0.00000,0.00000,0.00000,0.00000,2.36990,2.18050,0.291680,0.226690,0.0823810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0658410,0.0128580,0.00000,0.000982130,0.00000,0.00000,0.000204610,0.00000,0.00000,0.0503910,0.00445620,0.00000,0.000974800,0.00000,0.00000,0.00000,0.00000,0.0338580,0.0194960,0.00194960,0.000974800,0.00000,0.00000,0.00000,0.111650,0.0389400,0.00000,0.00194960,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T07:00:00.000Z,18.5830,0.00000,0.00000,0.00000,0.00000,0.394250,0.477130,0.0582860,0.00000,0.00000,0.00000,0.00000,4.28910,3.55480,1.63540,0.0729200,0.226690,0.0823810,0.00000,0.0407350,0.0471840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0658410,0.00000,0.00196540,0.00196430,0.00000,0.00000,0.00000,0.00000,0.00000,0.0503910,0.0133690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0677160,0.00779840,0.00389920,0.000974800,0.00000,0.00000,7.8711E-05,0.111650,0.00973510,0.00389920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T08:00:00.000Z,9.99350,1.79840,0.00000,0.00000,0.00000,0.777390,0.156800,0.0574650,0.0197580,0.00000,0.00000,0.00000,0.00000,1.16820,0.537450,0.0718930,0.134100,0.121830,0.0388290,0.0401610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0324570,0.00633830,0.00581320,0.000968290,0.00000,0.00000,0.00000,0.00000,0.00000,0.0496810,0.00439350,0.00192210,0.00000,0.00000,0.00000,0.00000,0.00000,0.0333810,0.0153770,0.00384430,0.00000,0.000480570,0.00000,0.00000,0.110080,0.0287940,0.00768860,0.00192210,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T09:00:00.000Z,3.37870,1.82410,0.00000,0.00000,0.00000,1.18270,0.159040,0.0194290,0.00000,0.00000,0.00000,0.00000,8.57820,0.00000,0.545130,0.218760,0.0453390,0.0823810,0.0393840,0.0407350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0128580,0.00196540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.100780,0.00891250,0.00000,0.00000,0.00000,0.00000,0.000151690,0.00000,0.0169290,0.0194960,0.00000,0.00000,0.00000,0.00000,0.000157420,0.111650,0.0292050,0.00779840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T10:00:00.000Z,16.7740,5.43350,0.00000,0.00000,0.00000,0.782900,0.157920,0.0578720,0.0198980,0.00000,0.00000,0.00000,0.00000,2.35310,1.08250,0.144800,0.225090,0.0408990,0.0391050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0326870,0.00638330,0.00195150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0176990,0.00387160,0.000967890,0.00000,0.00000,0.00000,0.00000,0.0168090,0.00387160,0.00193580,0.00000,0.00000,0.00000,7.8153E-05,0.00000,0.0193320,0.0154860,0.00193580,0.00000,0.00000,0.00000,0.000584390,0.00000
2013-09-28T11:00:00.000Z,10.1360,1.82410,0.00000,0.00000,0.00000,0.00000,0.318090,0.0582860,0.0200400,0.00000,0.00000,0.00000,0.00000,1.18490,1.63540,0.0729200,0.136020,0.0823810,0.0393840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00642890,0.00196540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00891250,0.00000,0.000974800,0.00000,0.00000,0.00000,0.00000,0.0169290,0.0155970,0.00389920,0.00000,0.000487430,0.00000,0.00000,0.00000,0.0292050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T12:00:00.000Z,9.99350,0.00000,0.00000,0.00000,0.00000,0.777390,0.00000,0.0574650,0.00000,0.00000,0.101650,0.00000,4.22870,0.00000,0.537450,0.431360,0.0894000,0.0406110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0324570,0.0190150,0.00000,0.000968290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00878700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0166900,0.0153770,0.00576640,0.00000,0.00000,0.00000,0.00000,0.110080,0.0383920,0.0115330,0.00000,0.000961070,0.00000,0.00000,0.00000,0.00000
2013-09-28T13:00:00.000Z,5.06810,5.47240,4.07340,0.00000,0.00000,0.788490,0.477130,0.0388570,0.00000,0.00000,0.00000,0.00000,0.00000,3.55480,0.545130,0.291680,0.0453390,0.00000,0.0787680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00393080,0.00196430,0.000491920,0.00000,0.000204610,0.00000,0.00000,0.0503910,0.0133690,0.00389920,0.00000,0.00000,0.00000,0.00000,0.00000,0.0338580,0.00389920,0.00389920,0.000974800,0.00000,0.00000,0.00000,0.334960,0.0389400,0.0116980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T14:00:00.000Z,11.8260,1.82410,0.00000,0.00000,0.00000,0.394250,0.00000,0.0194290,0.0200400,0.00000,0.00000,0.00000,4.28910,0.00000,0.00000,0.291680,0.136020,0.0411910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0128580,0.00196540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000974800,0.00000,0.00000,0.00000,0.00000,0.0338580,0.00389920,0.00000,0.00000,0.00000,0.00000,0.00000,0.111650,0.0194700,0.00779840,0.00000,0.00000,0.00000,0.000831830,0.00000,0.00000
2013-09-28T15:00:00.000Z,10.1360,0.00000,0.00000,0.00000,0.00000,0.00000,0.159040,0.0388570,0.00000,0.00000,0.00000,0.00000,0.00000,1.18490,0.00000,0.218760,0.226690,0.0411910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0329210,0.00000,0.00000,0.00000,0.000491920,0.00000,0.00000,0.00000,0.00000,0.00000,0.0133690,0.00194960,0.00000,0.00000,0.00000,0.00000,0.00000,0.0338580,0.00779840,0.00194960,0.000974800,0.00000,0.00000,0.00000,0.111650,0.0292050,0.00389920,0.00194960,0.00000,0.00000,0.00000,0.00000,0.00000
